,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
366,Westport,US,83.75,clear sky,41.1415,-73.3579,The Westport Inn
367,Naqadeh,IR,81.86,clear sky,36.9553,45.388,اینترنت ترکان نت
370,Carutapera,BR,78.39,overcast clouds,-1.195,-46.02,Lidera
371,Shenjiamen,CN,78.53,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
375,Sweetwater,US,84.97,thunderstorm,25.7634,-80.3731,Li'l Abner Mobile Home Park
380,Dzerzhinskoye,RU,77.38,overcast clouds,56.8344,95.2283,Kolos
384,Riyadh,SA,89.74,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
385,Sur,OM,89.44,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
387,Moore,US,86.7,clear sky,35.3395,-97.4867,SpringHill Suites by Marriott Oklahoma City Moore
389,Sampit,ID,83.62,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
392,Narayangarh,IN,85.41,broken clouds,30.4833,77.1333,Hotel Paris
394,Kirakira,SB,78.66,overcast clouds,-10.4544,161.9205,SanBiz Lodge
402,Diourbel,SN,78.17,broken clouds,14.6628,-16.3925,ISFAR maison Blanche
405,Altamont,US,84.04,haze,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
406,Belmopan,BZ,82.29,clear sky,17.25,-88.7667,Villa San Juan
409,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
410,Namatanai,PG,83.7,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
415,Craig,US,75.79,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
424,Faanui,PF,78.75,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
434,Cadereyta,MX,85.33,clear sky,25.5833,-99.9833,Best Western Centro Cadereyta
435,Sabzevar,IR,79.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
443,Filadelfia,US,85.01,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
450,Berea,US,78.78,broken clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
451,Pemangkat,ID,82.83,overcast clouds,1.1667,108.9667,Ramah Kost KITA
452,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
455,Darlawn,IN,82.0,overcast clouds,24.0167,92.9,BNRGSK BUILDING
457,Iberia,US,75.96,clear sky,29.9502,-91.7507,back to back rv park
463,Marrakesh,MA,78.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
465,Sibu,MY,77.31,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
466,Poso,ID,84.63,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
468,Rosarito,MX,79.93,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
469,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
470,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
476,Dillon,US,81.48,clear sky,34.4166,-79.3712,Dillon Express Inn
479,Basco,PH,82.0,light rain,20.4487,121.9702,Nathaniel's Lodge
481,Jiwani,PK,80.4,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
487,Sorong,ID,82.92,few clouds,-0.8833,131.25,waigo splash hotel
488,Celestun,MX,80.47,clear sky,20.8667,-90.4,Posada Lilia
490,High Rock,BS,82.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
492,Mozarlandia,BR,75.4,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
494,Ewa Beach,US,82.35,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
496,Chincholi,IN,83.46,overcast clouds,17.4667,77.4333,Friends men's were
497,Gizo,SB,82.62,light rain,-8.103,156.8419,Imagination Island
498,Bainbridge,US,84.06,smoke,47.6262,-122.5212,Bainbridge Island Country Inn
500,Coolum Beach,AU,75.34,clear sky,-26.5333,153.1,Palmer Coolum Resort
502,Carauari,BR,78.76,broken clouds,-4.8828,-66.8958,Hotel Fellip
505,Dawson,US,77.38,broken clouds,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
507,Nurota,UZ,80.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
510,Orbetello,IT,82.4,few clouds,42.4408,11.2196,Argentario Golf Resort & Spa
513,Lufilufi,WS,80.38,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
514,Shouguang,CN,80.65,overcast clouds,36.88,118.7375,Communications Hotel
516,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
518,South Venice,US,78.98,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
519,Kawalu,ID,80.38,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
525,Cabra,ES,87.39,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
527,Aloleng,PH,83.41,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
537,Seminole,US,83.05,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
540,Wana,PK,87.22,clear sky,32.2989,69.5725,Rest House at Wana Camp
544,Zaysan,KZ,75.09,overcast clouds,47.4667,84.8667,Ерлан үй
546,Anekal,IN,76.51,overcast clouds,12.7,77.7,Hotel Mayura Nisarga Pearl Valley
550,Sabha,LY,83.48,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
554,Nishihara,JP,87.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
557,Orangeburg,US,80.56,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
558,Jasper,US,77.68,clear sky,37.2001,-94.3502,Guest House Motel
568,Waingapu,ID,87.67,clear sky,-9.6567,120.2641,Pondok Wisata Elim
569,Eyl,SO,80.38,broken clouds,7.9803,49.8164,Amiin Hotel
574,Itarema,BR,78.06,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
575,Somerville,US,79.12,scattered clouds,42.3876,-71.0995,La Quinta Inn & Suites by Wyndham Boston Somerville
581,Bhawanipatna,IN,88.68,overcast clouds,19.9,83.1667,Bhagirathi inn
582,Manggar,ID,75.87,light rain,-2.8833,108.2667,Guest Hotel
587,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
590,Tanete,ID,89.37,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
595,Kuching,MY,86.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
597,Gushikawa,JP,87.8,scattered clouds,26.3544,127.8686,Kirari Guest House
599,Luwuk,ID,84.97,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
600,Ixtapa,MX,79.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
601,San Lorenzo De El Escorial,ES,77.83,clear sky,40.5914,-4.1474,Hotel Florida
604,Aldan,RU,76.57,scattered clouds,58.6031,125.3894,Aldan Guest House
606,Alihe,CN,76.28,scattered clouds,50.5667,123.7167,Alihe Forestry Hotel
607,Clinton,US,79.12,clear sky,42.587,-82.9199,Hampton Inn Detroit/Roseville
608,Farias Brito,BR,75.88,clear sky,-6.9306,-39.5656,Pousada Boa Vista
609,Kilindoni,TZ,76.42,clear sky,-7.9139,39.6668,Bustani B&B
612,Karaton,ID,84.36,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
613,Alugan,PH,86.31,overcast clouds,12.2188,125.4808,JM Lodge
617,La Cruz,MX,80.47,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
618,Port-Gentil,GA,76.57,broken clouds,-0.7193,8.7815,Fengshui Residence
624,Amga,RU,83.77,few clouds,60.8953,131.9608,Algys
626,Wanning,CN,86.47,overcast clouds,18.8003,110.3967,Paradise Hotel
628,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
631,Karmala,IN,82.31,overcast clouds,18.4167,75.2,Hotel Ashutosh And Lodge
634,Arawa,PG,83.84,light rain,-6.2132,155.5367,Coastline Guest House
638,Mahon,ES,77.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
640,Trincomalee,LK,85.35,overcast clouds,8.5711,81.2335,Welcombe Hotel
645,Tulum,MX,76.91,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
648,Gondanglegi,ID,89.78,few clouds,-7.7479,112.0132,Gg. Munasir Homestay
651,Lazaro Cardenas,MX,78.64,overcast clouds,17.9583,-102.2,quinta antigua
657,Tura,IN,77.47,very heavy rain,25.5198,90.2201,Hotel RIKMAN Continental
659,Caramay,PH,86.49,overcast clouds,10.1815,119.236,Peace and Love Beach Club
666,Melville,US,85.82,clear sky,40.7934,-73.4151,Marriott Melville Long Island
667,Fernley,US,87.91,scattered clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
674,West Bay,KY,82.99,clear sky,19.3667,-81.4167,Calypso Cove
679,Pathankot,IN,89.6,scattered clouds,32.2833,75.65,Hotel Venice
681,Farmington,US,79.48,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
683,Road Town,VG,81.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
685,Rayong,TH,86.68,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
686,Tezu,IN,75.4,moderate rain,27.9167,96.1667,Circuit House
