City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Saldanha,ZA,2021-08-13 01:22:32,-33.0117,17.9442,42.85,72,0,15.3
93,Kazanskoye,RU,2021-08-13 01:22:32,55.6448,69.235,48.9,81,79,7.14
94,Manokwari,ID,2021-08-13 01:22:33,-0.8667,134.0833,83.26,68,12,7.05
95,Vaini,TO,2021-08-13 01:22:33,-21.2,-175.2,73.56,73,40,12.66
96,Naifaru,MV,2021-08-13 01:22:33,5.4444,73.3657,82.49,71,100,16.04
97,Cidreira,BR,2021-08-13 01:22:34,-30.1811,-50.2056,55.9,80,100,7.34
98,Avarua,CK,2021-08-13 01:22:34,-21.2078,-159.775,66.25,94,90,18.41
99,Ucluelet,CA,2021-08-13 01:20:10,48.9329,-125.5528,101.05,63,48,4.94
100,Bredasdorp,ZA,2021-08-13 01:22:34,-34.5322,20.0403,45.72,87,87,4.61
101,Ilulissat,GL,2021-08-13 01:22:35,69.2167,-51.1,48.22,61,100,2.3
102,Honningsvag,NO,2021-08-13 01:22:35,70.9821,25.9704,51.33,89,100,5.73
103,Bengkulu,ID,2021-08-13 01:22:35,-3.8004,102.2655,75.74,80,100,3.51
104,Georgetown,MY,2021-08-13 01:20:10,5.4112,100.3354,83.89,80,20,3.44
105,Myitkyina,MM,2021-08-13 01:22:36,25.3833,97.4,75.31,100,100,1.83
106,Port Talbot,GB,2021-08-13 01:22:36,51.5924,-3.7802,62.51,87,100,15.82
107,Hilo,US,2021-08-13 01:22:37,19.7297,-155.09,82.13,71,40,10.36
108,Ambon,ID,2021-08-13 01:22:37,-3.6954,128.1814,78.94,89,40,4.61
109,Chokurdakh,RU,2021-08-13 01:22:38,70.6333,147.9167,56.16,81,100,12.03
110,Sabang,ID,2021-08-13 01:21:55,5.8933,95.3214,81.55,75,54,15.12
111,Tilichiki,RU,2021-08-13 01:22:38,60.4667,166.1,63.9,61,33,7.07
112,Christchurch,NZ,2021-08-13 01:20:09,-43.5333,172.6333,48.4,93,90,5.75
113,Gumdag,TM,2021-08-13 01:22:39,39.2061,54.5906,85.69,23,2,11.95
114,Yulara,AU,2021-08-13 01:22:39,-25.2406,130.9889,58.84,31,0,23.02
115,Kulhudhuffushi,MV,2021-08-13 01:22:39,6.6221,73.07,82.33,74,100,16.49
116,Slave Lake,CA,2021-08-13 01:22:40,55.2834,-114.769,73.38,46,75,12.66
117,Atuona,PF,2021-08-13 01:22:40,-9.8,-139.0333,75.7,77,75,10.69
118,Constitucion,CL,2021-08-13 01:20:57,-35.3333,-72.4167,46.92,87,1,1.03
119,Yellowknife,CA,2021-08-13 01:22:41,62.456,-114.3525,66.72,55,75,8.05
120,Jacareacanga,BR,2021-08-13 01:22:41,-6.2222,-57.7528,85.03,34,100,1.43
121,San Julian,MX,2021-08-13 01:22:41,21.0167,-102.1667,66.88,60,78,3.29
122,Faya,SA,2021-08-13 01:22:42,18.3851,42.4509,68.11,44,79,1.14
123,Port Elizabeth,ZA,2021-08-13 01:22:42,-33.918,25.5701,46.69,93,0,5.75
124,Hay River,CA,2021-08-13 01:22:42,60.8156,-115.7999,67.98,52,40,5.75
125,Fortuna,US,2021-08-13 01:19:47,40.5982,-124.1573,81.43,74,81,4.94
126,New Norfolk,AU,2021-08-13 01:22:43,-42.7826,147.0587,58.91,64,81,8.01
127,Yarada,IN,2021-08-13 01:22:43,17.65,83.2667,82.72,89,75,2.3
128,Tasiilaq,GL,2021-08-13 01:22:44,65.6145,-37.6368,48.36,70,100,2.86
129,Montepuez,MZ,2021-08-13 01:22:44,-13.1256,38.9997,60.75,90,5,3.09
130,Denpasar,ID,2021-08-13 01:22:45,-8.65,115.2167,80.26,89,75,12.66
131,Virginia Beach,US,2021-08-13 01:22:45,36.8529,-75.978,89.02,74,0,3.0
132,Anchorage,US,2021-08-13 01:21:02,61.2181,-149.9003,60.37,87,90,0.0
133,Kiruna,SE,2021-08-13 01:22:45,67.8557,20.2251,50.92,87,90,2.3
134,Cabo San Lucas,MX,2021-08-13 01:20:59,22.8909,-109.9124,85.6,75,90,1.99
135,Sawakin,SD,2021-08-13 01:22:46,19.1059,37.3321,90.54,58,14,0.89
136,Pangody,RU,2021-08-13 01:22:46,65.85,74.4859,60.66,63,100,8.59
137,Saint-Philippe,RE,2021-08-13 01:22:47,-21.3585,55.7679,69.35,85,40,10.29
138,Semirom,IR,2021-08-13 01:22:47,31.4167,51.5667,65.43,21,6,2.1
139,Torbay,CA,2021-08-13 01:22:47,47.6666,-52.7314,59.58,87,90,9.22
140,East London,ZA,2021-08-13 01:22:48,-33.0153,27.9116,56.62,62,100,14.0
141,Dingle,PH,2021-08-13 01:22:48,10.9995,122.6711,84.54,73,57,5.44
